Rank,Commune,Sale count,Average price €/m²,Minimum price €/m²,Maximum price €/m²
1,ANGERS,870,12331.0,1200.0,87500.0
2,LILLE,1591,9791.0,1071.0,93103.0
3,REIMS,843,8206.0,1119.0,90909.0
4,ROUEN,1097,8188.0,1000.0,92333.0
5,NANCY,830,7945.0,1000.0,81579.0
6,ANNECY,394,7710.0,1846.0,60917.0
7,BORDEAUX,1529,7377.0,1016.0,72105.0
8,TOULOUSE,2511,6911.0,1000.0,100000.0
9,TOURS,835,6730.0,1200.0,89286.0
10,NICE,2764,6705.0,1000.0,96048.0
11,NANTES,1580,6477.0,1021.0,98562.0
12,AJACCIO,154,6322.0,1481.0,68750.0
13,MONTPELLIER,1661,5630.0,1038.0,90731.0
14,RENNES,1024,5609.0,1000.0,62222.0
15,TOULON,937,5569.0,1000.0,61167.0
16,CAEN,734,5291.0,1154.0,55263.0
17,GRENOBLE,856,5247.0,1111.0,89250.0
18,DIJON,1059,4776.0,1000.0,71000.0
