Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B7500;2024;L7502;;;;;;;;;;;14,5;17,7;21,4;;17,1;;680;828;1035;;929;54;6940;4;
B7500;2024;L7502;;;;;;;;;Maison 1-3P;;12,5;15,4;19,6;;15,7;;750;900;1076;;939;60;171;4;
B7500;2024;L7502;;;;;;;;;Maison 4P+;;11,1;14;17,6;;14,8;;1051;1345;1725;;1562;105;231;4;
B7500;2024;L7502;;;;;;;;;Appart 1P;;18,9;22,3;26,6;;22,3;;548;618;696;;623;28;1218;4;
B7500;2024;L7502;;;;;;;;;Appart 2P;;16;18,4;21,2;;18,5;;698;781;895;;810;44;2407;4;
B7500;2024;L7502;;;;;;;;;Appart 3P;;13,5;15,9;18,9;;16,2;;815;950;1200;;1022;63;2073;4;
B7500;2024;L7502;;;;;;;;;Appart 4P+;;11,4;14,1;18,1;;15,2;;920;1111;1550;;1317;87;840;4;
B7500;2024;L7502;;;;;;;;;Ensemble 1P;;18,9;22,3;26,6;;22,3;;549;619;697;;623;28;1223;4;
B7500;2024;L7502;;;;;;;;;Ensemble 2P;;16;18,4;21,2;;18,4;;697;780;896;;809;44;2461;4;
B7500;2024;L7502;;;;;;;;;Ensemble 3P;;13,3;15,8;18,8;;16,1;;815;950;1198;;1021;63;2185;4;
B7500;2024;L7502;;;;;;;;;Ensemble 4P+;;11,4;14;17,7;;15,1;;955;1200;1619;;1388;92;1071;4;
B7500;2024;L7502;;;;;;;;Maison;;;11,7;14,7;18,1;;15,1;;890;1098;1500;;1300;86;402;4;
B7500;2024;L7502;;;;;;;;Appart 1P;;;18,9;22,3;26,6;;22,3;;548;618;696;;623;28;1218;4;
B7500;2024;L7502;;;;;;;;Appart 2P;;;16;18,4;21,2;;18,5;;698;781;895;;810;44;2407;4;
B7500;2024;L7502;;;;;;;;Appart 3P;;;13,5;15,9;18,9;;16,2;;815;950;1200;;1022;63;2073;4;
B7500;2024;L7502;;;;;;;;Appart 4P+;;;11,4;14,1;18,1;;15,2;;920;1111;1550;;1317;87;840;4;
B7500;2024;L7502;;;;;;;;Ensemble 1P;;;18,9;22,3;26,6;;22,3;;549;619;697;;623;28;1223;4;
B7500;2024;L7502;;;;;;;;Ensemble 2P;;;16;18,4;21,2;;18,4;;697;780;896;;809;44;2461;4;
B7500;2024;L7502;;;;;;;;Ensemble 3P;;;13,3;15,8;18,8;;16,1;;815;950;1198;;1021;63;2185;4;
B7500;2024;L7502;;;;;;;;Ensemble 4P+;;;11,4;14;17,7;;15,1;;955;1200;1619;;1388;92;1071;4;
B7500;2024;L7502;;;;;;;1. Moins de 1 an;;;;15,6;18,7;23;;18,3;;699;840;1065;;959;52;785;4;
B7500;2024;L7502;;;;;;;1. Moins de 1 an;;Ensemble 1P;;19,5;24;30,1;;23,9;;558;624;710;;636;27;172;4;
B7500;2024;L7502;;;;;;;1. Moins de 1 an;;Ensemble 2P;;17;18,8;22,2;;19,4;;721;814;950;;851;44;305;4;
B7500;2024;L7502;;;;;;;1. Moins de 1 an;;Ensemble 3P;;14;16,5;19,6;;16,8;;850;966;1228;;1057;63;194;4;
B7500;2024;L7502;;;;;;;1. Moins de 1 an;;Ensemble 4P+;;12,8;15,4;19,6;;16,1;;1038;1373;1665;;1584;98;114;4;
B7500;2024;L7502;;;;;;;2. 1 an et plus;;;;14,2;17,5;21;;16,8;;680;824;1030;;922;55;6155;4;
B7500;2024;L7502;;;;;;1. Moins de 1 an;;;;;15,6;18,7;23;;18,3;;699;840;1065;;959;52;785;4;
B7500;2024;L7502;;;;;;1. Moins de 1 an;;Ensemble 1P;;;19,5;24;30,1;;23,9;;558;624;710;;636;27;172;4;
B7500;2024;L7502;;;;;;1. Moins de 1 an;;Ensemble 2P;;;17;18,8;22,2;;19,4;;721;814;950;;851;44;305;4;
B7500;2024;L7502;;;;;;1. Moins de 1 an;;Ensemble 3P;;;14;16,5;19,6;;16,8;;850;966;1228;;1057;63;194;4;
B7500;2024;L7502;;;;;;1. Moins de 1 an;;Ensemble 4P+;;;12,8;15,4;19,6;;16,1;;1038;1373;1665;;1584;98;114;4;
B7500;2024;L7502;;;;;;2. 1 an et plus;;;;;14,2;17,5;21;;16,8;;680;824;1030;;922;55;6155;4;
B7500;2024;L7502;;;;;1. Avant 1946;;;;;;16,4;19,8;23,4;;18,8;;670;819;1035;;964;51;1706;4;
B7500;2024;L7502;;;;;1. Avant 1946;;;;Ensemble 1P;;22;25,5;28,6;;24,7;;518;595;680;;607;25;287;4;
B7500;2024;L7502;;;;;1. Avant 1946;;;;Ensemble 2P;;17,1;20,2;23,2;;19,7;;669;771;870;;781;40;677;4;
B7500;2024;L7502;;;;;1. Avant 1946;;;;Ensemble 3P;;14;17,4;20,3;;17;;802;964;1201;;1026;60;500;4;
B7500;2024;L7502;;;;;1. Avant 1946;;;;Ensemble 4P+;;14,6;19;22,5;;18,2;;1200;1597;2100;;1773;97;242;4;
B7500;2024;L7502;;;;;2. Entre 1946-1970;;;;;;13,2;16,7;20,3;;16,2;;660;804;1000;;898;56;1670;4;
B7500;2024;L7502;;;;;2. Entre 1946-1970;;;;Ensemble 1P;;18;21,2;24,7;;21,2;;537;600;683;;617;29;298;4;
B7500;2024;L7502;;;;;2. Entre 1946-1970;;;;Ensemble 2P;;14,7;17,7;20,5;;17,6;;675;775;909;;813;46;483;4;
B7500;2024;L7502;;;;;2. Entre 1946-1970;;;;Ensemble 3P;;11,9;15;18,1;;15,3;;750;880;1089;;941;62;586;4;
B7500;2024;L7502;;;;;2. Entre 1946-1970;;;;Ensemble 4P+;;10,4;13,6;17,1;;14,3;;825;1097;1500;;1257;88;303;4;
B7500;2024;L7502;;;;;3. Entre 1971-1990;;;;;;13,8;17,3;21,9;;16,5;;664;814;1018;;913;55;1400;4;
B7500;2024;L7502;;;;;3. Entre 1971-1990;;;;Ensemble 1P;;19,4;23;27,7;;22,7;;558;620;707;;632;28;305;4;
B7500;2024;L7502;;;;;3. Entre 1971-1990;;;;Ensemble 2P;;15,3;17,9;21,5;;17,9;;674;780;910;;801;45;450;4;
B7500;2024;L7502;;;;;3. Entre 1971-1990;;;;Ensemble 3P;;12,9;14,8;18;;15,7;;800;931;1228;;1031;66;381;4;
B7500;2024;L7502;;;;;3. Entre 1971-1990;;;;Ensemble 4P+;;10,6;13,1;16,2;;13,9;;920;1144;1453;;1280;92;264;4;
B7500;2024;L7502;;;;;4. Entre 1991-2005;;;;;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;;;4. Entre 1991-2005;;;;Ensemble 1P;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;;;4. Entre 1991-2005;;;;Ensemble 2P;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;;;4. Entre 1991-2005;;;;Ensemble 3P;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;;;4. Entre 1991-2005;;;;Ensemble 4P+;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;;;5. Après 2005;;;;;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;;;5. Après 2005;;;;Ensemble 1P;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;;;5. Après 2005;;;;Ensemble 2P;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;;;5. Après 2005;;;;Ensemble 3P;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;;;5. Après 2005;;;;Ensemble 4P+;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;;1. Avant 1946;;;;;;;16,4;19,8;23,4;;18,8;;670;819;1035;;964;51;1706;4;
B7500;2024;L7502;;;;1. Avant 1946;;;;Ensemble 1P;;;22;25,5;28,6;;24,7;;518;595;680;;607;25;287;4;
