Commune,Code postal,Type local,Surface reelle bati,Valeur fonciere,Prix_m2,Date mutation
NICE,6100.0,Appartement,26.0,116148.0,4467.2307692307695,04/01/2024
NICE,6100.0,Appartement,23.0,116900.0,5082.608695652174,04/01/2024
NICE,6000.0,Appartement,28.0,150000.0,5357.142857142857,08/01/2024
NICE,6100.0,Appartement,20.0,65000.0,3250.0,05/01/2024
NICE,6100.0,Appartement,28.0,111000.0,3964.285714285714,03/01/2024
NICE,6200.0,Appartement,32.0,125000.0,3906.25,05/01/2024
NICE,6000.0,Appartement,25.0,102000.0,4080.0,05/01/2024
NICE,6000.0,Appartement,30.0,370000.0,12333.333333333334,11/01/2024
NICE,6300.0,Appartement,40.0,220000.0,5500.0,09/01/2024
NICE,6100.0,Appartement,32.0,275000.0,8593.75,05/01/2024
NICE,6000.0,Appartement,33.0,260000.0,7878.787878787879,03/01/2024
NICE,6000.0,Appartement,23.0,127500.0,5543.478260869565,04/01/2024
NICE,6000.0,Appartement,45.0,345000.0,7666.666666666667,12/01/2024
NICE,6200.0,Appartement,40.0,195000.0,4875.0,05/01/2024
NICE,6200.0,Appartement,25.0,160000.0,6400.0,08/01/2024
NICE,6300.0,Appartement,32.0,400000.0,12500.0,11/01/2024
NICE,6200.0,Appartement,21.0,109000.0,5190.476190476191,08/01/2024
NICE,6000.0,Appartement,32.0,349200.0,10912.5,08/01/2024
NICE,6000.0,Appartement,32.0,155500.0,4859.375,03/01/2024
NICE,6300.0,Appartement,37.0,215000.0,5810.810810810811,05/01/2024
NICE,6000.0,Appartement,26.0,145000.0,5576.923076923077,03/01/2024
NICE,6300.0,Appartement,40.0,205000.0,5125.0,03/01/2024
NICE,6200.0,Appartement,35.0,215000.0,6142.857142857143,11/01/2024
NICE,6000.0,Appartement,15.0,149000.0,9933.333333333334,10/01/2024
NICE,6000.0,Appartement,22.0,105000.0,4772.727272727273,05/01/2024
NICE,6000.0,Appartement,27.0,226100.0,8374.074074074075,10/01/2024
NICE,6000.0,Appartement,9.0,26500.0,2944.4444444444443,08/01/2024
NICE,6000.0,Appartement,38.0,274000.0,7210.526315789473,12/01/2024
NICE,6300.0,Appartement,31.0,269000.0,8677.41935483871,11/01/2024
NICE,6300.0,Appartement,40.0,220000.0,5500.0,17/01/2024
NICE,6000.0,Appartement,35.0,165000.0,4714.285714285715,09/01/2024
NICE,6300.0,Appartement,33.0,147000.0,4454.545454545455,12/01/2024
NICE,6000.0,Appartement,14.0,75000.0,5357.142857142857,11/01/2024
NICE,6200.0,Appartement,20.0,81000.0,4050.0,05/01/2024
NICE,6000.0,Appartement,24.0,119000.0,4958.333333333333,19/01/2024
NICE,6100.0,Appartement,39.0,90000.0,2307.6923076923076,18/01/2024
NICE,6200.0,Appartement,43.0,260000.0,6046.511627906977,12/01/2024
NICE,6100.0,Appartement,28.0,130000.0,4642.857142857143,03/01/2024
NICE,6100.0,Appartement,29.0,100000.0,3448.2758620689656,11/01/2024
NICE,6200.0,Appartement,23.0,135000.0,5869.565217391304,15/01/2024
NICE,6300.0,Appartement,31.0,135000.0,4354.8387096774195,10/01/2024
NICE,6100.0,Appartement,42.0,150000.0,3571.4285714285716,03/01/2024
NICE,6200.0,Appartement,33.0,310000.0,9393.939393939394,12/01/2024
NICE,6100.0,Appartement,30.0,151000.0,5033.333333333333,09/01/2024
NICE,6000.0,Appartement,42.0,243480.0,5797.142857142857,12/01/2024
NICE,6000.0,Appartement,24.0,112000.0,4666.666666666667,04/01/2024
NICE,6100.0,Appartement,41.0,205000.0,5000.0,08/01/2024
NICE,6000.0,Appartement,35.0,171500.0,4900.0,11/01/2024
NICE,6000.0,Appartement,23.0,106000.0,4608.695652173913,15/01/2024
NICE,6000.0,Appartement,16.0,115000.0,7187.5,16/01/2024
NICE,6300.0,Appartement,20.0,107000.0,5350.0,16/01/2024
NICE,6000.0,Appartement,15.0,107000.0,7133.333333333333,17/01/2024
NICE,6000.0,Appartement,36.0,126000.0,3500.0,16/01/2024
NICE,6000.0,Appartement,36.0,263720.0,7325.555555555556,10/01/2024
NICE,6300.0,Appartement,31.0,135000.0,4354.8387096774195,17/01/2024
NICE,6100.0,Appartement,41.0,105000.0,2560.9756097560976,19/01/2024
NICE,6200.0,Appartement,22.0,133650.0,6075.0,08/01/2024
NICE,6000.0,Appartement,21.0,100000.0,4761.9047619047615,19/01/2024
NICE,6000.0,Appartement,45.0,314000.0,6977.777777777777,10/01/2024
NICE,6000.0,Appartement,29.0,127560.0,4398.620689655172,10/01/2024
NICE,6200.0,Appartement,22.0,129000.0,5863.636363636364,08/01/2024
NICE,6100.0,Appartement,34.0,185681.0,5461.205882352941,17/01/2024
NICE,6000.0,Appartement,27.0,75000.0,2777.777777777778,11/01/2024
NICE,6000.0,Appartement,40.0,169000.0,4225.0,15/01/2024
NICE,6300.0,Appartement,28.0,129000.0,4607.142857142857,23/01/2024
NICE,6300.0,Appartement,40.0,299800.0,7495.0,18/01/2024
NICE,6300.0,Appartement,41.0,252000.0,6146.341463414634,09/01/2024
NICE,6300.0,Appartement,44.0,130000.0,2954.5454545454545,10/01/2024
NICE,6100.0,Appartement,35.0,210000.0,6000.0,19/01/2024
NICE,6300.0,Appartement,24.0,160000.0,6666.666666666667,17/01/2024
NICE,6000.0,Appartement,45.0,144000.0,3200.0,24/01/2024
NICE,6000.0,Appartement,43.0,365000.0,8488.372093023256,16/01/2024
