Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B6300;2022;L6300;;;;;;;;;;6,6;7,8;9,3;11,0;13,1;8,8;345;410;503;648;840;556;63;10753;46756;Estimation directe
B6300;2022;L6300;;;;;;;;;Maison 1-3P;6,1;6,9;8,3;9,9;11,4;8,2;350;450;500;600;732;526;64;250;2952;Estimation directe
B6300;2022;L6300;;;;;;;;;Ensemble 4P+;5,7;6,8;8,0;9,1;10,2;7,9;505;600;750;900;1072;772;98;2029;13250;Estimation directe
B6300;2022;L6300;;;;;;;;;Maison 4P+;5,6;6,7;8,2;9,3;10,4;7,9;550;670;840;945;1146;835;106;638;6582;Estimation directe
B6300;2022;L6300;;;;;;;;;Appart 1P;10,0;11,3;13,0;15,4;18,1;12,8;289;315;348;380;408;348;27;2175;6798;Estimation directe
B6300;2022;L6300;;;;;;;;;Appart 2P;7,9;9,1;10,4;11,6;13,1;10,1;360;400;450;495;534;445;44;3557;12422;Estimation directe
B6300;2022;L6300;;;;;;;;;Appart 3P;6,7;7,7;8,7;9,8;10,7;8,6;435;492;558;630;690;561;65;2742;11334;Estimation directe
B6300;2022;L6300;;;;;;;;;Appart 4P+;6,0;6,9;7,9;9,0;9,9;7,9;500;561;675;800;961;713;90;1391;6668;Estimation directe
B6300;2022;L6300;;;;;;;;;Ensemble 1P;9,9;11,2;13,0;15,4;18,1;12,7;286;315;350;382;410;349;28;2186;6864;Estimation directe
B6300;2022;L6300;;;;;;;;;Ensemble 2P;7,7;8,9;10,3;11,6;13,1;10,0;350;400;450;495;531;444;44;3620;13071;Estimation directe
B6300;2022;L6300;;;;;;;;;Ensemble 3P;6,5;7,5;8,6;9,8;10,7;8,5;435;490;555;633;700;563;66;2918;13571;Estimation directe
B6300;2022;L6300;;;;;;;;Maison 1-3P;;6,1;6,9;8,3;9,9;11,4;8,2;350;450;500;600;732;526;64;250;2952;Estimation directe
B6300;2022;L6300;;;;;;;;Maison 4P+;;6,4;8,1;10,3;13,2;16,0;8,9;308;345;431;830;967;583;65;2813;13380;Estimation directe
