Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B6700;2024;L6700;;;;;;;;;;7,9;9,3;11,1;13,3;15,8;10,6;420;515;636;776;950;674;63;13075;80652;Estimation directe
B6700;2024;L6700;;;;;;;;;Maison 1-3P;;;;;;;;;;;;;;21;;Estimation directe
B6700;2024;L6700;;;;;;;;;Ensemble 4P+;6,7;8,0;9,3;10,7;12,2;9,3;654;750;870;1051;1300;935;100;2056;18397;Estimation directe
B6700;2024;L6700;;;;;;;;;Maison 4P+;5,4;6,6;8,9;10,7;12,0;8,5;700;800;950;1106;1300;977;114;153;2579;Estimation directe
B6700;2024;L6700;;;;;;;;;Appart 1P;11,7;13,7;15,5;18,4;21,0;15,6;330;370;410;456;500;415;27;2201;11792;Estimation directe
B6700;2024;L6700;;;;;;;;;Appart 2P;9,2;10,7;12,4;13,8;15,4;12,1;460;509;557;611;680;565;47;4787;24483;Estimation directe
B6700;2024;L6700;;;;;;;;;Appart 3P;7,8;9,0;10,4;11,6;12,9;10,3;550;630;700;770;875;707;69;4010;24929;Estimation directe
B6700;2024;L6700;;;;;;;;;Appart 4P+;7,0;8,0;9,4;10,7;12,2;9,5;650;745;851;1041;1300;927;98;1903;15818;Estimation directe
B6700;2024;L6700;;;;;;;;;Ensemble 1P;11,7;13,7;15,5;18,4;21,0;15,6;330;370;410;456;500;415;27;2201;11840;Estimation directe
B6700;2024;L6700;;;;;;;;;Ensemble 2P;9,2;10,7;12,4;13,8;15,4;12,1;460;508;557;611;680;565;47;4789;24774;Estimation directe
B6700;2024;L6700;;;;;;;;;Ensemble 3P;7,8;9,0;10,4;11,6;12,9;10,2;547;628;700;770;880;707;69;4029;25641;Estimation directe
B6700;2024;L6700;;;;;;;;Maison;;5,4;6,7;8,7;10,7;12,2;8,6;570;718;900;1070;1294;927;108;174;3630;Estimation directe
B6700;2024;L6700;;;;;;;;Appart 1P;;11,7;13,7;15,5;18,4;21,0;15,6;330;370;410;456;500;415;27;2201;11792;Estimation directe
B6700;2024;L6700;;;;;;;;Appart 2P;;9,2;10,7;12,4;13,8;15,4;12,1;460;509;557;611;680;565;47;4787;24483;Estimation directe
B6700;2024;L6700;;;;;;;;Appart 3P;;7,8;9,0;10,4;11,6;12,9;10,3;550;630;700;770;875;707;69;4010;24929;Estimation directe
B6700;2024;L6700;;;;;;;;Appart 4P;;7,0;8,0;9,4;10,7;12,2;9,5;650;745;851;1041;1300;927;98;1903;15818;Estimation directe
B6700;2024;L6700;;;;;;;;Appart 5P+;;11,7;13,7;15,5;18,4;21,0;15,6;330;370;410;456;500;415;27;2201;11840;Estimation directe
B6700;2024;L6700;;;;;;;;Ensemble 1P;;9,2;10,7;12,4;13,8;15,4;12,1;460;508;557;611;680;565;47;4789;24774;Estimation directe
B6700;2024;L6700;;;;;;;;Ensemble 2P;;7,8;9,0;10,4;11,6;12,9;10,2;547;628;700;770;880;707;69;4029;25641;Estimation directe
B6700;2024;L6700;;;;;;;;Ensemble 3P;;6,7;8,0;9,3;10,7;12,2;9,3;654;750;870;1051;1300;935;100;2056;18397;Estimation directe
B6700;2024;L6700;;;;;;;1. Moins de 1 an;;;9,3;10,5;12,4;14,6;17,2;11,9;420;510;640;800;1020;692;58;3391;;Estimation directe
B6700;2024;L6700;;;;;;;1. Moins de 1 an;;Ensemble 4P+;8,4;9,1;10,4;11,8;13,0;10,4;760;850;960;1200;1450;1064;102;386;;Estimation directe
B6700;2024;L6700;;;;;;;1. Moins de 1 an;;Ensemble 1P;13,3;14,8;16,6;19,0;21,8;16,7;347;380;425;475;527;429;26;736;;Estimation directe
B6700;2024;L6700;;;;;;;1. Moins de 1 an;;Ensemble 2P;10,4;11,5;12,9;14,1;16,0;12,9;485;520;575;635;700;587;46;1358;;Estimation directe
B6700;2024;L6700;;;;;;;1. Moins de 1 an;;Ensemble 3P;8,8;10,1;11,1;12,2;14,1;11,2;616;665;730;800;930;751;67;911;;Estimation directe
B6700;2024;L6700;;;;;;;2. 1 an et plus;;;7,6;8,9;10,7;12,7;15,1;10,2;417;518;635;769;932;668;65;9684;;Estimation directe
