Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B7400;2024;L7400;;;;;;;;;;10,7;12,3;14,3;16,7;19,3;14,1;515;643;792;1000;1311;875;62;4053;19253;Estimation directe
B7400;2024;L7400;;;;;;;;;Maison 1-3P;;;;;;;;;;;;;;3;;Estimation directe
B7400;2024;L7400;;;;;;;;;Ensemble 4P+;9,4;11,4;13,2;15,0;17,6;13,4;824;950;1185;1500;1880;1281;96;637;4346;Estimation directe
B7400;2024;L7400;;;;;;;;;Maison 4P+;8,3;12,0;13,7;15,7;18,2;13,5;860;1077;1311;1714;2070;1473;109;52;892;Estimation directe
B7400;2024;L7400;;;;;;;;;Appart 1P;13,6;15,5;18,0;21,1;25,0;17,9;403;455;510;573;650;520;29;666;2582;Estimation directe
B7400;2024;L7400;;;;;;;;;Appart 2P;11,8;13,3;15,0;17,2;19,0;15,0;530;602;680;769;845;683;45;1431;6185;Estimation directe
B7400;2024;L7400;;;;;;;;;Appart 3P;10,4;11,8;13,2;15,1;16,7;13,5;700;777;881;1028;1170;920;68;1316;5809;Estimation directe
B7400;2024;L7400;;;;;;;;;Appart 4P+;9,8;11,2;13,1;14,9;17,3;13,3;800;920;1157;1420;1710;1218;91;585;3455;Estimation directe
B7400;2024;L7400;;;;;;;;;Ensemble 1P;13,6;15,5;18,0;21,1;25,0;17,9;403;455;509;572;650;520;29;667;2601;Estimation directe
B7400;2024;L7400;;;;;;;;;Ensemble 2P;11,8;13,3;15,0;17,2;19,0;15,0;530;602;680;769;845;683;45;1431;6289;Estimation directe
B7400;2024;L7400;;;;;;;;;Ensemble 3P;10,1;11,7;13,2;15,1;16,7;13,4;690;776;880;1025;1166;917;68;1318;6016;Estimation directe
B7400;2024;L7400;;;;;;;;Maison;;8,3;11,6;13,1;15,6;18,0;13,3;850;1000;1300;1709;2070;1413;106;55;1221;Estimation directe
B7400;2024;L7400;;;;;;;;Appart 1P;;13,6;15,5;18,0;21,1;25,0;17,9;403;455;510;573;650;520;29;666;2582;Estimation directe
B7400;2024;L7400;;;;;;;;Appart 2P;;11,8;13,3;15,0;17,2;19,0;15,0;530;602;680;769;845;683;45;1431;6185;Estimation directe
B7400;2024;L7400;;;;;;;;Appart 3P;;10,4;11,8;13,2;15,1;16,7;13,5;700;777;881;1028;1170;920;68;1316;5809;Estimation directe
B7400;2024;L7400;;;;;;;;Appart 4P et plus;;9,8;11,2;13,1;14,9;17,3;13,3;800;920;1157;1420;1710;1218;91;585;3455;Estimation directe
B7400;2024;L7400;;;;;;;;Ensemble 1P;;13,6;15,5;18,0;21,1;25,0;17,9;403;455;509;572;650;520;29;667;2601;Estimation directe
B7400;2024;L7400;;;;;;;;Ensemble 2P;;11,8;13,3;15,0;17,2;19,0;15,0;530;602;680;769;845;683;45;1431;6289;Estimation directe
B7400;2024;L7400;;;;;;;;Ensemble 3P;;10,1;11,7;13,2;15,1;16,7;13,4;690;776;880;1025;1166;917;68;1318;6016;Estimation directe
B7400;2024;L7400;;;;;;;;Ensemble 4P et plus;;9,4;11,4;13,2;15,0;17,6;13,4;824;950;1185;1500;1880;1281;96;637;4346;Estimation directe
B7400;2024;L7400;;;;;;;1. Moins de 1 an;;;12,2;13,5;15,5;18,0;20,9;15,3;531;650;810;1019;1350;881;58;1087;;Estimation directe
B7400;2024;L7400;;;;;;;1. Moins de 1 an;;Ensemble 4P+;11,6;12,7;13,8;17,0;18,8;14,7;900;1095;1300;1600;1901;1365;93;127;;Estimation directe
B7400;2024;L7400;;;;;;;1. Moins de 1 an;;Ensemble 1P;14,5;16,1;19,1;23,5;26,4;19,1;419;467;516;600;662;532;28;209;;Estimation directe
B7400;2024;L7400;;;;;;;1. Moins de 1 an;;Ensemble 2P;12,9;14,0;16,0;18,1;19,8;16,0;580;640;705;800;870;716;45;410;;Estimation directe
B7400;2024;L7400;;;;;;;1. Moins de 1 an;;Ensemble 3P;11,6;12,7;14,2;15,7;18,1;14,4;754;830;980;1090;1300;993;69;341;;Estimation directe
B7400;2024;L7400;;;;;;;2. 1 an et plus;;;10,2;11,9;13,8;16,1;18,6;13,6;508;640;783;1000;1311;872;64;2966;;Estimation directe
B7400;2024;L7400;;;;;;;2. 1 an et plus;;Ensemble 4P+;8,9;11,0;12,7;14,8;17,6;13,1;800;917;1157;1449;1822;1259;96;510;;Estimation directe
B7400;2024;L7400;;;;;;;2. 1 an et plus;;Ensemble 1P;13,4;15,1;17,5;20,1;23,6;17,3;400;450;502;562;626;512;30;458;;Estimation directe
B7400;2024;L7400;;;;;;;2. 1 an et plus;;Ensemble 2P;11,3;12,9;14,4;16,6;18,6;14,6;505;596;664;755;818;667;46;1021;;Estimation directe
B7400;2024;L7400;;;;;;;2. 1 an et plus;;Ensemble 3P;10,0;11,4;12,6;14,6;16,4;12,9;675;750;850;986;1121;882;68;977;;Estimation directe
B7400;2024;L7400;;;;;;1. Moins de 1 an;;;;12,2;13,5;15,5;18,0;20,9;15,3;531;650;810;1019;1350;881;58;1087;;Estimation directe
B7400;2024;L7400;;;;;;1. Moins de 1 an;;Ensemble 1P;;14,5;16,1;19,1;23,5;26,4;19,1;419;467;516;600;662;532;28;209;;Estimation directe
B7400;2024;L7400;;;;;;1. Moins de 1 an;;Ensemble 2P;;12,9;14,0;16,0;18,1;19,8;16,0;580;640;705;800;870;716;45;410;;Estimation directe
B7400;2024;L7400;;;;;;1. Moins de 1 an;;Ensemble 3P;;11,6;12,7;14,2;15,7;18,1;14,4;754;830;980;1090;1300;993;69;341;;Estimation directe
B7400;2024;L7400;;;;;;1. Moins de 1 an;;Ensemble 4P et plus;;11,6;12,7;13,8;17,0;18,8;14,7;900;1095;1300;1600;1901;1365;93;127;;Estimation directe
B7400;2024;L7400;;;;;;2. 1 an et plus;;;;10,2;11,9;13,8;16,1;18,6;13,6;508;640;783;1000;1311;872;64;2966;;Estimation directe
B7400;2024;L7400;;;;;;2. 1 an et plus;;Ensemble 1P;;13,4;15,1;17,5;20,1;23,6;17,3;400;450;502;562;626;512;30;458;;Estimation directe
B7400;2024;L7400;;;;;;2. 1 an et plus;;Ensemble 2P;;11,3;12,9;14,4;16,6;18,6;14,6;505;596;664;755;818;667;46;1021;;Estimation directe
B7400;2024;L7400;;;;;;2. 1 an et plus;;Ensemble 3P;;10,0;11,4;12,6;14,6;16,4;12,9;675;750;850;986;1121;882;68;977;;Estimation directe
B7400;2024;L7400;;;;;;2. 1 an et plus;;Ensemble 4P et plus;;8,9;11,0;12,7;14,8;17,6;13,1;800;917;1157;1449;1822;1259;96;510;;Estimation directe
B7400;2024;L7400;;;;;1. Avant 1946;;;;;9,3;11,8;13,8;17,1;19,9;13,6;480;650;800;1112;1600;959;71;338;1230;Estimation directe
