Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B2A00;2024;L2A00;;;;;;;;;;8,8;10,0;11,9;14,2;16,7;11,7;541;653;792;947;1129;817;70;2699;11865;Estimation directe
B2A00;2024;L2A00;;;;;;;;;Maison 1-3P;;;;;;;;;;;;;;24;;Estimation directe
B2A00;2024;L2A00;;;;;;;;;Ensemble 4P+;7,6;9,5;10,3;12,1;13,7;10,6;680;850;984;1119;1377;1015;96;552;3448;Estimation directe
B2A00;2024;L2A00;;;;;;;;;Maison 4P+;;;;;;;;;;;;;;31;;Estimation directe
B2A00;2024;L2A00;;;;;;;;;Appart 1P;13,3;15,7;18,0;20,8;22,8;17,8;424;492;544;585;650;542;31;351;783;Estimation directe
B2A00;2024;L2A00;;;;;;;;;Appart 2P;10,5;13,0;14,8;16,3;18,2;14,2;500;592;670;730;794;653;46;829;2596;Estimation directe
B2A00;2024;L2A00;;;;;;;;;Appart 3P;8,7;9,9;11,6;12,9;14,2;11,4;575;712;806;916;1100;818;72;943;4556;Estimation directe
B2A00;2024;L2A00;;;;;;;;;Appart 4P+;7,4;9,4;10,4;12,0;13,7;10,5;650;845;961;1105;1337;992;95;521;2986;Estimation directe
B2A00;2024;L2A00;;;;;;;;;Ensemble 1P;13,3;15,7;18,0;20,8;22,8;17,8;424;492;544;585;650;542;31;351;790;Estimation directe
B2A00;2024;L2A00;;;;;;;;;Ensemble 2P;10,5;13,0;14,8;16,2;18,2;14,2;501;594;670;726;789;652;46;833;2730;Estimation directe
B2A00;2024;L2A00;;;;;;;;;Ensemble 3P;8,7;10,0;11,5;12,9;14,3;11,4;600;721;800;900;1100;817;72;963;4896;Estimation directe
B2A00;2024;L2A00;;;;;;;;Maison;;10,0;10,0;11,0;13,8;14,9;11,8;700;750;800;1000;1319;935;79;55;945;Estimation directe
B2A00;2024;L2A00;;;;;;;;Appart 1P;;13,3;15,7;18,0;20,8;22,8;17,8;424;492;544;585;650;542;31;351;783;Estimation directe
B2A00;2024;L2A00;;;;;;;;Appart 2P;;10,5;13,0;14,8;16,3;18,2;14,2;500;592;670;730;794;653;46;829;2596;Estimation directe
B2A00;2024;L2A00;;;;;;;;Appart 3P;;8,7;9,9;11,6;12,9;14,2;11,4;575;712;806;916;1100;818;72;943;4556;Estimation directe
B2A00;2024;L2A00;;;;;;;;Appart 4P+;;7,4;9,4;10,4;12,0;13,7;10,5;650;845;961;1105;1337;992;95;521;2986;Estimation directe
