Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B8300;2024;L8300;;;;;;;;;;9,2;10,8;12,7;15,0;17,5;12,4;470;566;685;849;1100;740;60;17108;79422;Estimation directe
B8300;2024;L8300;;;;;;;;;Maison 1-3P;8,8;10,0;12,9;16,5;18,3;13,0;520;600;807;1032;1250;842;65;293;5499;Estimation directe
B8300;2024;L8300;;;;;;;;;Ensemble 4P+;8,4;9,5;11,0;12,9;14,7;11,3;675;780;960;1200;1445;1016;90;2875;17182;Estimation directe
B8300;2024;L8300;;;;;;;;;Maison 4P+;9,2;10,6;12,4;14,0;16,2;12,3;828;979;1200;1400;1587;1211;98;595;6265;Estimation directe
B8300;2024;L8300;;;;;;;;;Appart 1P;12,5;14,2;16,6;19,0;22,1;16,3;326;398;450;500;549;443;27;2272;8244;Estimation directe
B8300;2024;L8300;;;;;;;;;Appart 2P;10,6;12,5;14,0;16,2;17,9;13,9;466;530;600;665;727;599;43;6011;23526;Estimation directe
B8300;2024;L8300;;;;;;;;;Appart 3P;9,1;10,5;11,9;13,5;14,8;11,9;575;650;745;840;925;754;64;5657;24972;Estimation directe
B8300;2024;L8300;;;;;;;;;Appart 4P+;8,1;9,3;10,4;11,9;13,4;10,6;630;734;850;1000;1191;893;85;2280;10917;Estimation directe
B8300;2024;L8300;;;;;;;;;Ensemble 1P;12,5;14,3;16,6;19,1;22,4;16,4;327;399;450;500;549;444;27;2281;8470;Estimation directe
B8300;2024;L8300;;;;;;;;;Ensemble 2P;10,6;12,5;14,0;16,2;18,0;13,9;467;530;600;665;730;600;43;6072;25178;Estimation directe
B8300;2024;L8300;;;;;;;;;Ensemble 3P;9,0;10,4;11,9;13,6;15,1;12,0;577;650;750;850;1007;773;65;5880;28592;Estimation directe
B8300;2024;L8300;;;;;;;;Maison;;9,0;10,6;12,4;14,7;17,6;12,5;600;800;1050;1277;1490;1057;84;888;11763;Estimation directe
B8300;2024;L8300;;;;;;;;Appart 1P;;12,5;14,2;16,6;19,0;22,1;16,3;326;398;450;500;549;443;27;2272;8244;Estimation directe
B8300;2024;L8300;;;;;;;;Appart 2P;;10,6;12,5;14,0;16,2;17,9;13,9;466;530;600;665;727;599;43;6011;23526;Estimation directe
B8300;2024;L8300;;;;;;;;Appart 3P;;9,1;10,5;11,9;13,5;14,8;11,9;575;650;745;840;925;754;64;5657;24972;Estimation directe
B8300;2024;L8300;;;;;;;;Appart 4P et plus;;8,1;9,3;10,4;11,9;13,4;10,6;630;734;850;1000;1191;893;85;2280;10917;Estimation directe
B8300;2024;L8300;;;;;;;;Ensemble 1P;;12,5;14,3;16,6;19,1;22,4;16,4;327;399;450;500;549;444;27;2281;8470;Estimation directe
B8300;2024;L8300;;;;;;;;Ensemble 2P;;10,6;12,5;14,0;16,2;18,0;13,9;467;530;600;665;730;600;43;6072;25178;Estimation directe
B8300;2024;L8300;;;;;;;;Ensemble 3P;;9,0;10,4;11,9;13,6;15,1;12,0;577;650;750;850;1007;773;65;5880;28592;Estimation directe
B8300;2024;L8300;;;;;;;;Ensemble 4P et plus;;8,4;9,5;11,0;12,9;14,7;11,3;675;780;960;1200;1445;1016;90;2875;17182;Estimation directe
B8300;2024;L8300;;;;;;;1. Moins de 1 an;;;10,1;11,6;13,6;16,2;18,2;13,2;480;580;700;848;1100;754;57;4960;;Estimation directe
B8300;2024;L8300;;;;;;;1. Moins de 1 an;;Ensemble 4P+;8,5;9,9;11,1;13,6;16,4;11,7;727;836;1009;1330;1517;1102;94;732;;Estimation directe
B8300;2024;L8300;;;;;;;1. Moins de 1 an;;Ensemble 1P;13,1;15,0;16,8;19,2;23,0;16,9;372;410;460;500;560;458;27;753;;Estimation directe
B8300;2024;L8300;;;;;;;1. Moins de 1 an;;Ensemble 2P;11,6;13,0;14,6;16,8;18,0;14,6;500;560;625;700;762;632;43;1899;;Estimation directe
B8300;2024;L8300;;;;;;;1. Moins de 1 an;;Ensemble 3P;10,0;11,3;12,5;14,0;15,4;12,7;617;700;797;880;1063;812;64;1576;;Estimation directe
B8300;2024;L8300;;;;;;;2. 1 an et plus;;;9,0;10,6;12,5;14,6;17,1;12,1;466;560;680;850;1092;735;60;12148;;Estimation directe
B8300;2024;L8300;;;;;;;2. 1 an et plus;;Ensemble 4P+;8,4;9,4;10,9;12,8;14,4;11,2;662;764;950;1190;1397;995;89;2143;;Estimation directe
B8300;2024;L8300;;;;;;;2. 1 an et plus;;Ensemble 1P;12,4;14,0;16,3;18,9;22,0;16,2;310;390;450;500;540;439;27;1528;;Estimation directe
B8300;2024;L8300;;;;;;;2. 1 an et plus;;Ensemble 2P;10,2;12,2;13,8;15,7;18,0;13,7;450;519;589;655;708;587;43;4173;;Estimation directe
B8300;2024;L8300;;;;;;;2. 1 an et plus;;Ensemble 3P;8,8;10,1;11,7;13,3;15,0;11,8;561;643;741;850;978;762;65;4304;;Estimation directe
B8300;2024;L8300;;;;;;1. Moins de 1 an;;;;10,1;11,6;13,6;16,2;18,2;13,2;480;580;700;848;1100;754;57;4960;;Estimation directe
B8300;2024;L8300;;;;;;1. Moins de 1 an;;Ensemble 1P;;13,1;15,0;16,8;19,2;23,0;16,9;372;410;460;500;560;458;27;753;;Estimation directe
B8300;2024;L8300;;;;;;1. Moins de 1 an;;Ensemble 2P;;11,6;13,0;14,6;16,8;18,0;14,6;500;560;625;700;762;632;43;1899;;Estimation directe
B8300;2024;L8300;;;;;;1. Moins de 1 an;;Ensemble 3P;;10,0;11,3;12,5;14,0;15,4;12,7;617;700;797;880;1063;812;64;1576;;Estimation directe
B8300;2024;L8300;;;;;;1. Moins de 1 an;;Ensemble 4P et plus;;8,5;9,9;11,1;13,6;16,4;11,7;727;836;1009;1330;1517;1102;94;732;;Estimation directe
B8300;2024;L8300;;;;;;2. 1 an et plus;;;;9,0;10,6;12,5;14,6;17,1;12,1;466;560;680;850;1092;735;60;12148;;Estimation directe
B8300;2024;L8300;;;;;;2. 1 an et plus;;Ensemble 1P;;12,4;14,0;16,3;18,9;22,0;16,2;310;390;450;500;540;439;27;1528;;Estimation directe
B8300;2024;L8300;;;;;;2. 1 an et plus;;Ensemble 2P;;10,2;12,2;13,8;15,7;18,0;13,7;450;519;589;655;708;587;43;4173;;Estimation directe
